	filename	date	authors	genres	names	topics	multiple_authors	leader_in_authors	is_written_text	addressed_to_people	regular_occasion	has_major_topic
89	1918.05.29_вцик_постановление_о переходе к всеобщей мобилизации_мобилизация	1918.05.29	['вцик']	['постановление']	['о переходе к всеобщей мобилизации']	['мобилизация']	True	False	True	False	False	True
90	1918.05.29_ленин.снк_обращение.обращение к населению_о борьбе с голодом_голод	1918.05.29	['ленин', 'снк']	['обращение', 'обращение к населению']	['о борьбе с голодом']	['голод']	True	True	True	True	False	True
91	1918.05.30_ленин.снк_обращение.обращение к населению_о положении на продовольственном фронте и о борьбе с контрреволюцией	1918.05.30	['ленин', 'снк']	['обращение', 'обращение к населению']	['о положении на продовольственном фронте и о борьбе с контрреволюцией']	['о положении на продовольственном фронте и о борьбе с контрреволюцией']	True	True	True	True	False	False
92	1918.05.30_ленин.снк_обращение_обращение к трудовым казакам дона и кубани о борьбе с контрреволюцией_борьба с контрреволюцией	1918.05.30	['ленин', 'снк']	['обращение']	['обращение к трудовым казакам дона и кубани о борьбе с контрреволюцией']	['борьба с контрреволюцией']	True	True	True	True	False	True
93	1918.06.03_ленин_декрет_о национализации третьяковки национализация	1918.06.03	['ленин']	['декрет']	['о национализации третьяковки национализация']	['о национализации третьяковки национализация']	False	True	True	False	False	False
94	1918.06.04_вцик.моссовет.профсоюзы_резолюция_резолюция по докладу ленина_голод	1918.06.04	['вцик', 'моссовет', 'профсоюзы']	['резолюция']	['резолюция по докладу ленина']	['голод']	True	False	True	False	False	True
95	1918.06.13_ленин.снк_декрет_о национализации имущества императорского дома_николай ii.национализация	1918.06.13	['ленин', 'снк']	['декрет']	['о национализации имущества императорского дома']	['николай ii', 'национализация']	True	True	True	False	False	True
96	1918.06.14_вцик_постановление_исключение из вцик и советов сров и меньшевиков	1918.06.14	['вцик']	['постановление']	['исключение из вцик и советов сров и меньшевиков']	['исключение из вцик и советов сров и меньшевиков']	True	False	True	False	True	False
97	1918.06.22_ленин.снк_воззвание_воззвание к железнодорожникам_забастовки	1918.06.22	['ленин', 'снк']	['воззвание']	['воззвание к железнодорожникам']	['забастовки']	True	True	True	True	False	True
98	1918.07.01_ленин.снк_положение_об объявлении врагом народа председателя мурманского совета	1918.07.01	['ленин', 'снк']	['положение']	['об объявлении врагом народа председателя мурманского совета']	['об объявлении врагом народа председателя мурманского совета']	True	True	True	False	True	False
99	1918.07.06_снк_сообщение.правительственное сообщение_убийство германского посла	1918.07.06	['снк']	['сообщение', 'правительственное сообщение']	['убийство германского посла']	['убийство германского посла']	True	False	False	True	False	False
100	1918.07.07_снк_сообщение.правительственное сообщение_о принятии мер для подавления мятежа сров_мятеж сров	1918.07.07	['снк']	['сообщение', 'правительственное сообщение']	['о принятии мер для подавления мятежа сров']	['мятеж сров']	True	False	False	True	False	True
101	1918.07.08_снк_сообщение.правительственное сообщение_о ликвидации контрреволюционного восстания_мятеж сров	1918.07.08	['снк']	['сообщение', 'правительственное сообщение']	['о ликвидации контрреволюционного восстания']	['мятеж сров']	True	False	False	True	False	True
102	1918.07.10_съезд советов.съезд советов 5_постановление_организация красной армии	1918.07.10	['съезд советов', 'съезд советов 5']	['постановление']	['организация красной армии']	['организация красной армии']	True	False	True	False	False	False
103	1918.07.25_ленин.снк_постановление_о борьбе с антисемитизмом и еврейскими погромами_борьба с антисемитизмом	1918.07.25	['ленин', 'снк']	['постановление']	['о борьбе с антисемитизмом и еврейскими погромами']	['борьба с антисемитизмом']	True	True	True	False	False	True
104	1918.09.05_снк_постановление_о красном терроре	1918.09.05	['снк']	['постановление']	['о красном терроре']	['о красном терроре']	True	False	True	False	False	False
105	1918.10.10_ленин.снк_декрет_о новой орфографии	1918.10.10	['ленин', 'снк']	['декрет']	['о новой орфографии']	['о новой орфографии']	True	True	True	False	False	False
106	1918.11.08_съезд советов.съезд советов 6_постановление_о революционной законности	1918.11.08	['съезд советов', 'съезд советов 6']	['постановление']	['о революционной законности']	['о революционной законности']	True	False	True	False	False	False
